,Properties,frequency
6185,Antioxidation,1
1365,Dendrite arm spacing,1
5728,Grain boundary migration,1
1237,Yielding,1
6432,Diamagnetism,1
6433,Type-II Superconductor,1
6434,Superconducting Properties,1
6435,Coherence length,1
6437,M6C carbide,1
6439,Mismatch entropy,1
6440,Wear track morphology,1
6441,Debris behavior,1
6443,Catalytic Behavior,1
6444,Strong Acidic Sites,1
6445,High-Valent Metals,1
6446,Alloy Surface Composition,1
6448,High Resistance to Localized Corrosion,1
6482,Curie point,1
6452,L21,1
6458,Relative Cooling Capacity,1
1235,Al3Ti,1
6461,Macrostructure,1
6462,Tensile specimens,1
6463,Uniaxial tensile tests,1
1234,"Al45(Cr,V)7",1
6465,Growth Pattern,1
6466,Faceted,1
6467,Non-faceted,1
6473,Melting temperatures,1
6477,Magnetic Anomaly,1
1239, -Phase Precipitation,1
6428,Dirty Limit,1
6427,Scattering Time,1
6426,Residual Resistivity,1
6374,Fissile Density,1
6375,Point Defect Segregation Energy,1
6376,Free Energy Change,1
6377,Transformation-induced plasticity,1
6378,Linear Shrinkage,1
1266,Solute-drag Creep,1
6382,Eutectoid Decomposition,1
1264,Hydrogen Diffusion Coefficients,1
1263,Surface Exchange Current,1
6385,Oxidation Temperature,1
6386,Oxidation Time,1
1262,Gaseous Phase Capacity,1
6395,Brittle Phase Formation,1
6396,Brittle Phase Suppression,1
6400,-19 K,1
6401,67.8 K/GPa,1
6402,Stress-Strain Behavior,1
6410,Hot Working,1
6411,Hot Working Defects,1
6412,Lattice Microstrain,1
6413,Hydrogen emissions,1
6414,Crystallization Activation Energy,1
1258,Hydrogen Bulk Diffusion Coefficients,1
1250,  Phase Precipitates,1
6425,Mean Free Path,1
6478,Thermophysical properties,1
6485,DOS,1
6369,Bauschinger effect,1
6552,High Temperature Erosion,1
1205,Defect Interactions,1
6534,Shear behaviour,1
6535,Dynamic shear resistance,1
6536,Pesting Prevention,1
6538,Epitaxy,1
6540,Self-sharpening,1
6541,Penetration performance,1
6542,Enthalpies of mixing,1
6544,Biocompatible,1
6545,Binding Force,1
6548,Hall-Petch Contributions,1
6551,Intrinsic SFE,1
6553,Erosion properties,1
6486,Hysteresis Effect,1
6555,Intragranular Precipitates,1
6556,Al Zr Phase,1
6557,Al Nb Rich Phase,1
6558,Refractory Metal Rich Phase,1
6559,Zr Rich Phase,1
6560,In-Service Performance,1
6561,Grain Size Effect,1
6562,Nanocolumn Cohesion Effect,1
6564,Mass Ablation Rate,1
6565,Linear Ablation Rate,1
1189,Stable Phase Domains,1
1188,Stable Phase Prediction,1
1206,Strain of failure,1
6527,Adhesion Property,1
1208,Yield stresses,1
6524,High Temperature Softening,1
1226,Work Hardening Extent,1
6493,Thermoelastic Properties,1
6494,Spring Constants,1
1222,Ni-enriched,1
1221,Mn-enriched,1
6497,Heterogeneous Configurational Internal Energy Distribution,1
6498,Kinetically Trapped,1
6499,Disordered Structures,1
6500,Heterogeneous Configurational Internal Energy Distributions,1
6501,Strong Interactions,1
6502,Glass-transition Temperature,1
1220,Al-enriched,1
1219,Nano-dispersoids,1
1218,B2 phases,1
6508,Columnar Structure,1
6510,Microstructural Tailoring,1
6512,Structural Recoverability,1
6513,Microcrack Content,1
6514,Thermal Performance,1
1217,Nearest Neighbour Distance,1
1216,Single Ordered B2 Structure,1
6520,Coefficient Of Performance,1
6521,Second-law Efficiency,1
6522,Strength Enhancement,1
6523,Obstacle Strength,1
6370,Heterogeneous deformation-induced stress,1
6368,d0,1
1364,Subgrain size,1
6255,TE Performance,1
6230,Microstructure Modifications,1
1345,Internal Scales,1
1343,Peierls stress,1
1342,Activation enthalpy,1
6237,Cryogenic performances,1
6238,Duplex Structure,1
1341,Effective stress,1
6240,LLD,1
6242,Cooling Capacity,1
1339,Triple-layer Structure,1
6249,High symmetry,1
6250,Electronic density-of-states,1
6256,Superionic Conduction,1
6280,Micro-morphologies,1
6257,Adhesion Strengths,1
6258,Tribological Performances,1
6259,Cellular Metabolic Activity,1
6260,Low Elastic Modulus,1
6261,Crystal Instability,1
6263,Unit cell volume expansion,1
6265,High-temperature resistance,1
6269,Hot Working Efficiency,1
6270,Texture Intensity,1
6273,Electron-Phonon Interaction,1
6274,Schottky Anomaly,1
6275,Curie-Weiss Relation,1
6228,Particles,1
1350,Pre-deformation,1
6223,Environmentally Friendly,1
1351,Dislocation Densities,1
1362,NiAl-rich,1
1361,CoCrFe-rich,1
1360,Flow Instabilities,1
1359,Material Flow,1
1358,Strain Distribution,1
6198,Total Carbon Content,1
6199,Palmqvist Fracture Toughness,1
6201,Toughening Behavior,1
6202,Swelling Rate,1
6203,Hall Flow Rate,1
6204,Loose Powder Density,1
6205,Tapped Density,1
6206,Median Particle Diameter,1
1356,Fracture Degree,1
6209,Discharge/Charge Potential Gap,1
6210,CO Poisoning,1
6211,Deactivation,1
1355,Output Work Density,1
6214,Oxygen Reduction Activity,1
6215,Catalytic performances,1
6216,d-band Center,1
6217,High Activity,1
6218,Nanoporous Structure,1
6219,Cluster Formation,1
1352,Distribution Characteristics,1
6279,Superhydrophobicity,1
6281,Chemical structures,1
6367,s20,1
6345,Zener Pinning Effect,1
6328,High CRSS,1
6330,Dimensional Changes,1
1279,Thermal Desorption,1
6334,High-Temperature Corrosion Resistance,1
6335,Steam Oxidation Resistance,1
6336,Ferrimagnetic Phase,1
1278,Vacancy defects,1
6338, ' phase,1
1277,Grain Boundary Defects,1
6340, ' Phase,1
6342,Superior  0.2 831 MPa,1
6344,Two-phase Mixture,1
6346,Cooperative Diffusion,1
6282,Sliding angle,1
1274,Surviving defects,1
6351,Mechanical Interlocking,1
6353,Elastic Admissible Strain,1
6354,Biomineralization Ability,1
6355,ALP Activity,1
6356,ECM Mineralization,1
6359,Nanograin Stability,1
6362, us,1
6363, isf,1
6364, LP0,1
6365, TP0,1
6366,s10,1
6324,Surface stability,1
6323,Grain boundaries,1
6322,Twinning Propensity,1
6320,Material Removal Rate,1
6283,Shear rate,1
6284,Kinetic Oxidation,1
6285,Elemental Partitioning,1
6287,Fracture Response,1
6288,Super-Ductility,1
6290,Composite Oxide Scale,1
6291,Nanolaminate Structure,1
6292,Atomic Volumes,1
6293,Surface Nanofuzz Growth,1
6294,Helium Bubble Growth,1
6296,Surface nanofuzz growth,1
6297,Helium bubble growth,1
6298,Defect diffusion,1
1306,Casting Fluidity,1
1305,Superelastic recovery strain,1
1304,Martensitic transformation start temperature,1
6306,Corrosion kinetics,1
6307,Elevated Temperature,1
6308,Formation Energies,1
6309,Self-Diffusion Coefficients,1
6310,Anti-oxidation Performance,1
1302,Superelastic Recovery Strain,1
1296,Stress Drop,1
6315,Boronized Layer Thickness,1
6316,Deformation Instability,1
5729,Recrystallization Rate,1
5726,Thermal Stress-Induced Cracking Resistance,1
4912,Equiaxed grain structure,1
1971,Solid-solution phases,1
5160,Martensitic Transformation Induced Plasticity,1
5161,Oxidation Protection,1
5162,   Percentage,1
5163,Photothermal conversion,1
5164,Solar steam generation,1
5165,Energy conversion efficiency,1
5166,Surface temperature,1
5169,Surface chemical states,1
5170,Optical absorption,1
5171,Thermal conductivities,1
1985,Shear-strain rate,1
5176,Tetrahedral,1
5182,Shock Plasticity,1
5206,Tangential Force,1
1969,Single-phase Nature,1
5185,Compressive Fracture Mechanism,1
5186,Solidification Segregation,1
5189,Aperture Ratio,1
5190,Volume Thermal Expansion Coefficient,1
5194,Hexagonal Close Packed (HCP),1
5195,Self-diffusivity,1
5196,Oxide Film Breakdown,1
5199,Damage Distribution,1
5201,Spin-Glass Behavior,1
5202,Ferromagnetic-to-Paramagnetic Transition,1
1957,Change in length,1
1989,Electromagnetic Shielding,1
5157,zT Values,1
5155,Passivation stability,1
5154,Ti2Ni,1
2007,Passivation Resistance,1
2005,Non-basal Slip,1
2003,Enthalpy of formation,1
2002,Entropy of formation,1
5123,Resistance to Plastic Deformation,1
5124,Nanoscale Inhomogeneity,1
5125,Glass forming composition range,1
5126,Viscous,1
5130,Phase Identification,1
5134,Plastic Zone,1
5136,Medium Entropy,1
1994,Resistance to Radiation,1
1992,Abrasion Wear,1
5140,Temperature Rise,1
5143,Absorbed Mechanical Energy,1
5144,Discontinuous Plastic Deformation,1
5145,Critical Fraction,1
5146,Plastic Damage,1
5147,Void Volume Fraction,1
5148,Critical Temperatures,1
5149,First Order Transition,1
5150,H-phase,1
5151,Eutectoid Reaction,1
5152,"(Zr,Hf)7Cu10",1
5153,Ti2Cu,1
5205,Stiffness Tensor,1
5207,Rotational Effects,1
2011,Enhanced Tensile Strengths,1
5265,Neel Point,1
5250,Crack Growth Retardation,1
1941,d-band states,1
5254,Low SFE,1
5255,Recrystallization Percentage,1
5256,Texture Density,1
5257,Contiguity,1
5259,Relaxation Mechanism,1
5260,Glass-Forming Abilities,1
5261,Dynamic Heterogeneities,1
5262,Defect Concentrations,1
1938,Selective Dissolution,1
1937,Passive Film Structure,1
5266,Complex Magnetism,1
5208,Thermal Effects,1
1935,Bonding Character,1
5268,Table-like MCE,1
5269,High absolute values,1
5270,AFM order,1
5271,FM state,1
5273,Cooling power,1
5274,Structural defect density,1
5279,Lower Porosity,1
5280,Single-Phase Formation,1
5281,Alumina Layer,1
5291,Resistance to Static Anneal Softening,1
5295,Relaxation Enthalpy,1
5248,Spin Glass Phase,1
1947,High-Temperature Wear Resistance,1
1948,Magnetic Change,1
1953,Thermal Cycling Lifetime,1
5209,Rotation Frequency,1
5210,Bejan Number,1
5211,C1,1
5212,C20,1
5214,  0,1
5215,  *,1
5216,b,1
5217,m,1
5218,G,1
5219,Wear scar morphology,1
5220,Surface Microhardness,1
5221,Nano-grain Boundary,1
5225,Elastic Strain Failure Strength,1
5226,Plastic Deformation Strength,1
5227,Strain Gradient Strengthening,1
5228,Hydrostatic Stress,1
5229,Coherent Twin Boundaries,1
5230,Wear Atoms,1
1956,Length,1
5232,Al13(CoCrFeNi)4,1
5233,Al9(CoFeNi)2,1
1954,Thermal diffusion,1
5237,Diffusion Ability,1
5239,Tribocorrosion Property,1
5240,Quasi-static compression test,1
2010,Resistance to Intermediate-Temperature Embrittlement,1
5114,Superconductor,1
5302,Interfacial Residual Stress,1
2071,Elastic recovery,1
4975,Kondo Temperature,1
4977,Thermal Expansions,1
4978,Thermal Conductivities,1
4979,Density Reduction,1
2079,Dislocation Pile-ups,1
2075,Maximum compressive strength,1
4984,Strain Elongation,1
2074,0.2% proof stress,1
4986,Tensile-shear Strength,1
4987,Interface Grain Boundary Migration,1
4988,Tensile shear strength,1
2072,Material strength,1
2070,Load-bearing capacity,1
2055,Amorphous Transformation,1
4993,Strain Softening Behavior,1
4994,Reversible Hydrogen Capacity,1
4995,Radiation damage resistance,1
4998,Dynamic recrystallization,1
2068,Phase Transformation Plasticity,1
5001,HDI Strengthening Effect,1
2067,Twin-induced Plasticity,1
5004,Cleavage,1
5006,Wear Parameter,1
5007,Energy Release Characteristics,1
5010,Lattice mismatch,1
2057,Nanoindentation Morphology,1
4974,Oxidation Behaviors,1
4973,Elastic-Plastic Properties,1
4972,Eutectoid Microstructure,1
4971,Surface potential,1
2104,Reentrant Martensitic Transformation,1
4918,M-Cr Spinels,1
4919,Strengthened Ferromagnetic Exchange Coupling,1
4920,Nucleation Energy Barrier,1
4921,hcp Phase,1
2103,Magnetic-field-induced Transition,1
4924,Single-phase BCC solid solution,1
2101,Deformation markings,1
2099,Relaxation Mechanisms,1
2094,HRC Hardness,1
4935,Loop Mobility,1
4936,Resistance to Void Formation,1
2093,Interatomic Bonding,1
2089,Negative Temperature Coefficient,1
4941,Average Radius of Oxide Inclusions,1
4944,Plastic Flow Behavior,1
2082,Reaction Entropy,1
4953,Metallic Ions,1
4958,True ultimate compressive strength,1
4960,Yield behavior,1
4961,Indentation Strain Rate,1
4962,Contact Stiffness,1
4965,Grain Nucleation,1
4966,Static Recovery,1
4967,Static Recrystallization,1
2056,Cyclic Degradation,1
5017,Static Magnetic Moments,1
5113,Higher Free Energy,1
5095,Energy-release characteristics,1
2026,Kinking Bands,1
5078,Damping internal friction,1
2025,Cross-Slip,1
2024,Surface characterization,1
2022,Vacancy Formation Enthalpies,1
5087,Delayed Diffusion,1
2019,Dislocation dynamics,1
5090,Migration Energy,1
5091,Refrigerant Efficiency,1
5092,Necking Resistance,1
5093,Early Failure Resistance,1
5094,Passivation Stability,1
5096,Quasi-static Mechanical Properties,1
5022,B2 Crystallographic Symmetry,1
5097,Dynamic Compressive Mechanical Properties,1
5099,Metamagnetic Phase Transformation,1
5100,Engineering stress,1
5102,Effective Refrigerant Capacity,1
5103,Dissolution Rates,1
5104,Passive behavior,1
5105,Compositional Fluctuations,1
5106,Permeation Resistance,1
5107,Electronic Band Structures,1
5110,Lower Specific Heat,1
5111,Lower Entropy,1
5112,Higher Internal Energy,1
2030,Internal Attack,1
5074,Nanomechanical Behavior,1
5073,HCP- ,1
5072,FCC- ,1
5023,Equiaxed,1
2054,Hot Erosion Resistance,1
2053,Coating density,1
5027,Coarse-grained,1
5028,Disordered bcc,1
2052,Thermal Insulation Property,1
2047,Rough,1
5035,Bubbles,1
5041,Paramagnetic nature,1
5042,Dual magnetic phase,1
5043,Magnetic phase,1
5048,Tribological behavior,1
2037,Surface Structure Rearrangement,1
5050,Hydrogen Adsorption/Desorption,1
5055,Boron Removal Ability,1
5057,Quaternary intermetallics,1
5058,Vacancy migration,1
5059,(Ni,1
5060,Al)-rich phase,1
5061,Fermi Velocity,1
5064,Oxidation Corrosion,1
5065,Magnetic Order Temperature,1
5066,Spin Reorientation Transition,1
5067,Forging Temperature,1
5068,Static Strength,1
5298,Core-Shell Structure,1
5306,Elemental Segregations,1
5723,Recrystallization temperature,1
5584,Crack Growth Rate,1
1752,Gibbs Free Energy Density,1
5572,C14 Laves phases,1
5573,bcc_A2 phase,1
5574,bcc_B2 matrix,1
5575,C14 Laves precipitates,1
5576,BCC phases,1
5577,Friction performance,1
1749,Hemispherical emittance,1
1747,Opto-Thermal Efficiency,1
5580,Dynamic Work-hardening,1
5582,Maximum Hertzian pressure,1
5583,Average contact pressure,1
1746,Spectral Selectivity,1
5605,Three-body Abrasion,1
1741,Crystalline Defects,1
1739,Entropy of Fusion,1
5591,Structural Transition Temperature,1
5593,Microstructure Gradient,1
1738,Kinetic Behavior,1
5596,Magnetometry,1
5597,Isofield Measurements,1
5598,Isothermal Measurements,1
1736,Molar Heat Capacity,1
5601,High Temperature Tribological Properties,1
1735,Hardness Rockwell B,1
1734,Paramagnetic Feature,1
1753,Magnetocrystalline Energy Density,1
1754,Martensite Energy Density,1
1755,Elastic Energy Density,1
1756,Coupling Energy Density,1
5532,Interfacial Enthalpy,1
1782,Anti-adhesive Properties,1
5534,Single phase SS,1
5535,Single-phase SS,1
5536,Uniform Tensile Elongation,1
1778,Nucleation and growth mechanism,1
1776,Hydride structure,1
5541,Work Strain Hardening Capacity,1
5542,Refined Morphology,1
1775,Cyclic properties,1
5544,Intermetallic Forming Elements,1
5545,Elastic mismatch,1
1773,Surface characteristics,1
5551,uT,1
5552,Y,1
1764,TRIP Plasticity,1
1763,TWIP Plasticity,1
5555,Stress-Strain Response,1
5556,Vacancy Stability,1
5559,Acoustic Emission,1
5560,Spinel-type Oxide,1
1757,External Fields Energy Density,1
5563,Luminescence,1
5564,Endurance,1
5565,Absorption Properties,1
5604,Friction-induced Losses,1
5606,Microstructural Softening,1
5526,Creep Activation Barrier Energy,1
5688,Densification Behavior,1
5665,Dislocation Climb Creep,1
5666,Power-Law Breakdown,1
1700,Electron Work Function,1
5673,DTs,1
5674,DIPT,1
5676,Rate-Sensitivity,1
1699,Mass Changes,1
5683,Microscopic Segregation,1
5684,Substructures,1
5685,Intergranular Cracks,1
5686,Residual Thermal Stress,1
1690,Material Density,1
5689,Room-temperature ductility,1
5607,Shear Deformation Resistance,1
1686,Stable structures,1
5699,Catalytic Mechanisms,1
5700,Structural Characterization,1
5704,Rehydrogenation,1
5705,Reverse Martensitic Transformation,1
5706,Kinetic Arrest,1
5712,Spin-fluctuation,1
5713,Ferromagnetic Stability,1
5714,Antiferromagnetic Stability,1
5715,Phonon Stability,1
1674,Laves Phases,1
5718,Interdiffusion Coefficient,1
5663,Phonon Thermal Conductivities,1
5661,Densification Rate,1
1708,Acoustic Residual Softening,1
5659,Crystallization Mechanism,1
5608,Weld Quality,1
1733,Hetero-Deformation Strengthening,1
5618,Micro-crack,1
5622,Thermal Strength,1
1723,Dilatation,1
5624,Wear volumes,1
5626,Strain Aging,1
5629,Binary enthalpy,1
5630,Mechanical Specific Energy,1
5631,Wear Velocity,1
5633,Friction force,1
5634,Anti-wear Abilities,1
5635,L12 nano-precipitates,1
5636,L21 nano-precipitates,1
5637,9R-phase,1
5639,Aging,1
5644,Strain Sensitivity,1
1712,Inelastic-strain,1
1711,Inelastic-Strain,1
5648,Reversible Magnetoresistance,1
5649,Reversible Magnetostrain,1
5655,Outer Layer Formation,1
5656,Fe3O4,1
5657,NiAl2O4,1
5658,Cu2O,1
1785,Anti-adhesive properties,1
5525,Minimum Creep Rate,1
5308,Surface damage depth,1
5367,Hydride equilibrium pressure,1
5350,Valence Band,1
5351,Conduction Band,1
5353,Negative Stacking Fault Energy,1
1915,Magnetic saturation,1
5355,Finite Partial Separation,1
5356,Positive Stacking Fault Free Energy,1
5357,Light absorbance,1
1910,Cavitation resistance,1
5361,Dislocation Loop Size,1
5362,Atomic Packing,1
5363,Plane Stacking,1
5366,Thermal Energy Storage,1
1907,L12-   Phase,1
5403,Cyclic oxidation,1
5373,Supercooled,1
5375,Tension/Compression Asymmetry,1
5377,Beta (BCC),1
5378,Alpha (HCP),1
5380,Nano-scale,1
1901,Lattice Heat Capacity,1
1900,Thermal Energy,1
5387, 0.2,1
5390,Nano-grains,1
5394,He Bubble Damage Resistance,1
5395,Implantation Resistance,1
5396,Corrosion Passivating Oxide Layer,1
1917,H Absorption,1
5347,Slow Recombination,1
5346,Easy Electron-Hole Separation,1
5345,Low Bandgap,1
5309,Hydriding,1
5310,Dehydriding,1
5311,Charge/Discharge Cyclability,1
5313,Saturation magnetic polarization,1
5314,SC transition temperature,1
5315,Flux pinning force,1
5317,Super Yield Strength,1
5318,Tempering Softening Resistance,1
5321,Magnetic state,1
5323,Speromagnetic,1
5324,Asperomagnetic,1
5325,Spin glass,1
5326,Exchange interactions,1
1920,Slip Planes,1
5328,Dipolar interactions,1
5329,Chemical disorder,1
5330,Nonergodicity,1
5331,Spin Fluctuations,1
5332,Freezing Temperature,1
5333,Magnetic specific heat,1
1919,Micro-cracks,1
5340,Intragrain Defects,1
1918,Crystallographic Facet,1
5343,Radiation-enhanced Diffusion,1
5344,Visible-Light Absorption,1
5400,Thermal diffusivity coefficient,1
5406,Twinning-induced Plasticity,1
5524,Sigma Phase Formation,1
1818,Twinability,1
1851,Crystallographic Characteristics,1
1850,Soft FCC Phase,1
1843,Self-Interstitial Atom Diffusion,1
1825,Damage Production,1
5470,Antioxidant Properties,1
5471,Dislocation Interactions,1
5472,Comprehensive,1
5473,Stoichiometry,1
1820,Plastic-Anisotropic Deformation,1
5476,Antifouling Performance,1
5477,Solid Solution Formation Parameter,1
1819,Carbide Precipitations,1
5483,Environmental Stability,1
5408,Pseudo-passivation,1
5484,Frictional Properties,1
5485,Self-Lubrication,1
1816,ADP,1
5498,Kinetic Process,1
5499,Local Chemical Composition,1
5504,Cooling efficiency,1
5505,Chemical Element,1
1793,Elongation at Break,1
5514,Morphological Transformation,1
5517,Long-range Order,1
5521,Glide Mode,1
5522,Planar Glide,1
